2025-12-09_14-47-05,---,Carro.py:2025-12-09_14-47-05;Bike.py:2025-12-09_14-26-46;Estacionamento.py:2025-12-09_14-47-05;Moto.py:2025-12-09_14-44-07;Veiculo.py:2025-12-09_14-47-05;draft.py:2025-12-08_16-10-32
2025-12-09_14-58-02,0,draft.py:2025-12-08_16-10-32;Bike.py:2025-12-09_14-26-46;Carro.py:2025-12-09_14-58-02;Estacionamento.py:2025-12-09_14-58-02;Moto.py:2025-12-09_14-44-07;Veiculo.py:2025-12-09_14-47-05
2025-12-09_15-53-00,---,Bike.py:2025-12-09_14-26-46;Carro.py:2025-12-09_14-58-02;Estacionamento.py:2025-12-09_15-53-00;Moto.py:2025-12-09_14-44-07;Veiculo.py:2025-12-09_14-47-05;draft.py:2025-12-08_16-10-32
2025-12-09_15-53-08,0,Estacionamento.py:2025-12-09_15-53-00;Bike.py:2025-12-09_14-26-46;Carro.py:2025-12-09_14-58-02;Moto.py:2025-12-09_14-44-07;Veiculo.py:2025-12-09_14-47-05;draft.py:2025-12-08_16-10-32
2025-12-09_15-53-11,---,Estacionamento.py:2025-12-09_15-53-00;Bike.py:2025-12-09_14-26-46;Carro.py:2025-12-09_14-58-02;Moto.py:2025-12-09_14-44-07;Veiculo.py:2025-12-09_14-47-05;draft.py:2025-12-08_16-10-32
2025-12-09_16-08-08,---,Estacionamento.py:2025-12-09_16-08-08;Bike.py:2025-12-09_14-26-46;Carro.py:2025-12-09_14-58-02;Moto.py:2025-12-09_14-44-07;Veiculo.py:2025-12-09_14-47-05;draft.py:2025-12-08_16-10-32
2025-12-09_16-10-40,0,Bike.py:2025-12-09_14-26-46;Carro.py:2025-12-09_14-58-02;Estacionamento.py:2025-12-09_16-10-40;Moto.py:2025-12-09_14-44-07;Veiculo.py:2025-12-09_14-47-05;draft.py:2025-12-08_16-10-32
2025-12-09_16-10-44,---,Bike.py:2025-12-09_14-26-46;Carro.py:2025-12-09_14-58-02;Estacionamento.py:2025-12-09_16-10-40;Moto.py:2025-12-09_14-44-07;Veiculo.py:2025-12-09_14-47-05;draft.py:2025-12-08_16-10-32
2025-12-09_16-10-49,---,Bike.py:2025-12-09_14-26-46;Carro.py:2025-12-09_14-58-02;Estacionamento.py:2025-12-09_16-10-40;Moto.py:2025-12-09_14-44-07;Veiculo.py:2025-12-09_14-47-05;draft.py:2025-12-08_16-10-32
2025-12-09_16-10-56,---,Estacionamento.py:2025-12-09_16-10-40;Bike.py:2025-12-09_14-26-46;Carro.py:2025-12-09_14-58-02;Moto.py:2025-12-09_14-44-07;Veiculo.py:2025-12-09_14-47-05;draft.py:2025-12-08_16-10-32
2025-12-09_16-23-57,0,Estacionamento.py:2025-12-09_16-23-57;Bike.py:2025-12-09_14-26-46;Carro.py:2025-12-09_14-58-02;Moto.py:2025-12-09_14-44-07;Veiculo.py:2025-12-09_14-47-05;draft.py:2025-12-08_16-10-32
2025-12-09_16-24-00,---,Estacionamento.py:2025-12-09_16-23-57;Bike.py:2025-12-09_14-26-46;Carro.py:2025-12-09_14-58-02;Moto.py:2025-12-09_14-44-07;Veiculo.py:2025-12-09_14-47-05;draft.py:2025-12-08_16-10-32
2025-12-09_16-45-12,---,draft.py:2025-12-09_16-45-12;Bike.py:2025-12-09_14-26-46;Carro.py:2025-12-09_14-58-02;Estacionamento.py:2025-12-09_16-45-12;Moto.py:2025-12-09_14-44-07;Veiculo.py:2025-12-09_14-47-05
2025-12-09_16-45-56,---,draft.py:2025-12-09_16-45-12;Bike.py:2025-12-09_14-26-46;Carro.py:2025-12-09_14-58-02;Estacionamento.py:2025-12-09_16-45-12;Moto.py:2025-12-09_14-44-07;Veiculo.py:2025-12-09_14-47-05
2025-12-10_13-38-09,0,draft.py:2025-12-10_13-38-09;Bike.py:2025-12-09_14-26-46;Carro.py:2025-12-09_14-58-02;Estacionamento.py:2025-12-09_16-45-12;Moto.py:2025-12-09_14-44-07;Veiculo.py:2025-12-09_14-47-05
2025-12-10_13-38-14,---,draft.py:2025-12-10_13-38-09;Bike.py:2025-12-09_14-26-46;Carro.py:2025-12-09_14-58-02;Estacionamento.py:2025-12-09_16-45-12;Moto.py:2025-12-09_14-44-07;Veiculo.py:2025-12-09_14-47-05
2025-12-10_13-39-21,---,draft.py:2025-12-10_13-39-21;Bike.py:2025-12-09_14-26-46;Carro.py:2025-12-09_14-58-02;Estacionamento.py:2025-12-09_16-45-12;Moto.py:2025-12-09_14-44-07;Veiculo.py:2025-12-09_14-47-05
2025-12-10_13-44-24,---,draft.py:2025-12-10_13-44-24;Bike.py:2025-12-09_14-26-46;Carro.py:2025-12-09_14-58-02;Estacionamento.py:2025-12-09_16-45-12;Moto.py:2025-12-09_14-44-07;Veiculo.py:2025-12-09_14-47-05
2025-12-10_13-47-10,0,draft.py:2025-12-10_13-47-10;Bike.py:2025-12-09_14-26-46;Carro.py:2025-12-09_14-58-02;Estacionamento.py:2025-12-09_16-45-12;Moto.py:2025-12-09_14-44-07;Veiculo.py:2025-12-09_14-47-05
2025-12-10_13-47-12,---,draft.py:2025-12-10_13-47-10;Bike.py:2025-12-09_14-26-46;Carro.py:2025-12-09_14-58-02;Estacionamento.py:2025-12-09_16-45-12;Moto.py:2025-12-09_14-44-07;Veiculo.py:2025-12-09_14-47-05
2025-12-10_13-49-46,0,draft.py:2025-12-10_13-49-46;Bike.py:2025-12-09_14-26-46;Carro.py:2025-12-09_14-58-02;Estacionamento.py:2025-12-09_16-45-12;Moto.py:2025-12-09_14-44-07;Veiculo.py:2025-12-09_14-47-05
2025-12-10_13-49-54,50,draft.py:2025-12-10_13-49-54;Bike.py:2025-12-09_14-26-46;Carro.py:2025-12-09_14-58-02;Estacionamento.py:2025-12-09_16-45-12;Moto.py:2025-12-09_14-44-07;Veiculo.py:2025-12-09_14-47-05
2025-12-10_13-50-56,---,draft.py:2025-12-10_13-49-54;Bike.py:2025-12-09_14-26-46;Carro.py:2025-12-09_14-58-02;Estacionamento.py:2025-12-09_16-45-12;Moto.py:2025-12-09_14-44-07;Veiculo.py:2025-12-09_14-47-05
2025-12-10_13-53-11,75,draft.py:2025-12-10_13-49-54;Bike.py:2025-12-09_14-26-46;Carro.py:2025-12-10_13-53-11;Estacionamento.py:2025-12-09_16-45-12;Moto.py:2025-12-09_14-44-07;Veiculo.py:2025-12-09_14-47-05
2025-12-10_13-54-21,100,draft.py:2025-12-10_13-49-54;Bike.py:2025-12-09_14-26-46;Carro.py:2025-12-10_13-54-21;Estacionamento.py:2025-12-09_16-45-12;Moto.py:2025-12-10_13-54-21;Veiculo.py:2025-12-09_14-47-05
